00:1B:C5:05:D0/36,JSCProminfor,JSC Prominform
00:1B:C5:05:E0/36,EcomedComple,Ecomed-Complex
00:1B:C5:05:F0/36,Klingenthale,Klingenthaler Musikelektronik GmbH
00:1B:C5:06:00/36,Enstech     ,Enstech
00:1B:C5:06:10/36,ScientificTe,"Scientific-Technical Center ""Epsilon"" Limited company"
00:1B:C5:06:20/36,Sulaon      ,Sulaon Oy
00:1B:C5:06:30/36,CheckItSolut,Check-It Solutions Inc
00:1B:C5:06:40/36,Enkora      ,Enkora Oy Ltd
00:1B:C5:06:50/36,PlairMedia  ,Plair Media Inc.
00:1B:C5:06:60/36,Manufacturas,Manufacturas y transformados AB
00:1B:C5:06:70/36,Embit       ,Embit srl
00:1B:C5:06:80/36,HCSKABLOLAMA,HCS KABLOLAMA SISTEMLERI SAN. ve TIC.A.S.
00:1B:C5:06:90/36,DatasatDigit,Datasat Digital Entertainment
00:1B:C5:06:A0/36,IST         ,IST GmbH
00:1B:C5:06:B0/36,VerifiedEner,"Verified Energy, LLC."
00:1B:C5:06:C0/36,LuxconSystem,Luxcon System Limited
00:1B:C5:06:D0/36,TESElectroni,TES Electronic Solutions (I) Pvt. Ltd.
00:1B:C5:06:E0/36,TwoDimension,"Two Dimensional Instruments, LLC"
00:1B:C5:06:F0/36,LLCEmzior   ,LLC Emzior
00:1B:C5:07:00/36,SiemensIndus,"Siemens Industries, Inc, Retail & Commercial Systems"
00:1B:C5:07:10/36,CenterforECo,"Center for E-Commerce Infrastructure Development, The University of Hong Kong"
00:1B:C5:07:20/36,OhioSemitron,"Ohio Semitronics, Inc."
00:1B:C5:07:30/36,tado        ,tado GmbH
00:1B:C5:07:40/36,Dynasthetics,Dynasthetics
00:1B:C5:07:50/36,Kitron      ,Kitron GmbH
00:1B:C5:07:60/36,PLAiRMedia  ,"PLAiR Media, Inc"
00:1B:C5:07:70/36,MomentumData,Momentum Data Systems
00:1B:C5:07:80/36,DonbassSofta,Donbass Soft Ltd and Co.KG
00:1B:C5:07:90/36,HPIHighPress,HPI High Pressure Instrumentation GmbH
00:1B:C5:07:A0/36,ServiciosEle,Servicios Electronicos Industriales Berbel s.l.
00:1B:C5:07:B0/36,QCOREMedical,QCORE Medical
00:1B:C5:07:C0/36,head        ,head
00:1B:C5:07:D0/36,Greatcom    ,Greatcom AG
00:1B:C5:07:E0/36,BioMolecular,Bio Molecular System Pty Ltd
00:1B:C5:07:F0/36,Hitechlab   ,Hitechlab Inc
00:1B:C5:08:00/36,LUMINO      ,LUMINO GmbH
00:1B:C5:08:10/36,WonATech    ,"WonATech Co., Ltd."
00:1B:C5:08:20/36,TGSGeophysic,TGS Geophysical Company (UK) Limited
00:1B:C5:08:30/36,Diwel       ,Diwel
00:1B:C5:08:40/36,AppliedInnov,Applied Innovations Research LLC
00:1B:C5:08:50/36,Oberonmicros,"Oberon microsystems, Inc."
00:1B:C5:08:60/36,CASTGroupCom,CAST Group of Companies Inc.
00:1B:C5:08:70/36,OnnetTechnol,Onnet Technologies and Innovations LLC
00:1B:C5:08:80/36,UABKitron   ,UAB Kitron
00:1B:C5:08:90/36,SignatureCon,"Signature Control Systems, Inc."
00:1B:C5:08:A0/36,Topicon     ,Topicon
00:1B:C5:08:B0/36,Nistica     ,Nistica
00:1B:C5:08:C0/36,Triax       ,Triax A/S
00:1B:C5:08:D0/36,Eurek       ,Eurek Srl
00:1B:C5:08:E0/36,TrendPoint  ,TrendPoint Systems
00:1B:C5:08:F0/36,UnileverR&D ,Unilever R&D
00:1B:C5:09:00/36,SevenSolutio,Seven Solutions S.L
00:1B:C5:09:10/36,3greenApS   ,3green ApS
00:1B:C5:09:20/36,ArnouseDigit,"Arnouse Digital Devices, Corp."
00:1B:C5:09:30/36,AmbientDevic,"Ambient Devices, Inc."
00:1B:C5:09:40/36,reelyActive ,reelyActive
00:1B:C5:09:50/36,PREVACsp    ,PREVAC sp. z o.o.
00:1B:C5:09:60/36,Sanstreak   ,Sanstreak Corp.
00:1B:C5:09:70/36,Plexstar    ,Plexstar Inc.
00:1B:C5:09:80/36,Cubic       ,"Cubic Systems, Inc."
00:1B:C5:09:90/36,UABKitron   ,UAB Kitron
00:1B:C5:09:A0/36,GuangLianZhi,Shenzhen Guang Lian Zhi Tong Limited
00:1B:C5:09:B0/36,YIK         ,YIK Corporation
00:1B:C5:09:C0/36,Meccalte    ,Meccalte Spa
00:1B:C5:09:D0/36,Navitar     ,Navitar Inc
00:1B:C5:09:E0/36,KKMesstechni,K+K Messtechnik GmbH
00:1B:C5:09:F0/36,ENTESp      ,ENTE Sp. z o.o.
00:1B:C5:0A:00/36,Silvair     ,Silvair
00:1B:C5:0A:10/36,ZhipingTechn,"Hangzhou Zhiping Technology Co., Ltd."
00:1B:C5:0A:20/36,HettichBenel,Hettich Benelux
00:1B:C5:0A:30/36,PANetworkLab,"P A Network Laboratory Co.,Ltd"
00:1B:C5:0A:40/36,Radmor      ,Radmor S.A.
00:1B:C5:0A:50/36,TeslaControl,Tesla Controls
00:1B:C5:0A:60/36,BalterSecuri,Balter Security GmbH
00:1B:C5:0A:70/36,LGLElectroni,L.G.L. Electronics S.p.a.
00:1B:C5:0A:80/36,LinkPrecisio,Link Precision
00:1B:C5:0A:90/36,Elektrometal,Elektrometal SA
00:1B:C5:0A:A0/36,Senceive    ,Senceive Ltd
00:1B:C5:0A:B0/36,Evondos     ,Evondos Oy
00:1B:C5:0A:C0/36,AVnuAlliance,AVnu Alliance
00:1B:C5:0A:D0/36,TierraJapan ,"Tierra Japan Co.,Ltd"
00:1B:C5:0A:E0/36,TechlanReti ,Techlan Reti s.r.l.
00:1B:C5:0A:F0/36,EnerwiseSolu,Enerwise Solutions Ltd.
00:1B:C5:0B:00/36,JDCom       ,J-D.Com
00:1B:C5:0B:10/36,RoslenEcoNet,Roslen Eco-Networking Products
00:1B:C5:0B:20/36,SKODAELECTRI,SKODA ELECTRIC a.s.
00:1B:C5:0B:30/36,FSMSolutions,FSM Solutions Limited
00:1B:C5:0B:40/36,Coban       ,Coban Srl
00:1B:C5:0B:50/36,Exibea      ,Exibea AB
00:1B:C5:0B:60/36,Veilux      ,Veilux Inc.
00:1B:C5:0B:70/36,Autelis     ,"Autelis, LLC"
00:1B:C5:0B:80/36,Private     ,Private
00:1B:C5:0B:90/36,DenkiKogyo  ,"Denki Kogyo Company, Limited"
00:1B:C5:0B:A0/36,NtMicrosyste,Nt Microsystems
