00:00:68         ,RosemountCon,Rosemount Controls
00:00:69         ,ConcordCommu,Concord Communications Inc
00:00:6A         ,ComputerCons,Computer Consoles Inc.
00:00:6B         ,SiliconGraph,Silicon Graphics
00:00:6C         ,Private     ,Private
00:00:6D         ,CrayCommunic,"Cray Communications, Ltd."
00:00:6E         ,Artisoft    ,Artisoft Inc.
00:00:6F         ,Madge       ,Madge Ltd.
00:00:70         ,Hcl         ,Hcl Limited
00:00:71         ,Adra        ,Adra Systems Inc.
00:00:72         ,MiniwareTech,Miniware Technology
00:00:73         ,Siecor      ,Siecor Corporation
00:00:74         ,Ricoh       ,Ricoh Company Ltd.
00:00:75         ,NortelNetwor,Nortel Networks
00:00:76         ,AbekasVideoS,Abekas Video System
00:00:77         ,Interphase  ,Interphase Corporation
00:00:78         ,Labtam      ,Labtam Limited
00:00:79         ,Networth    ,Networth Incorporated
00:00:7A         ,DanaComputer,Dana Computer Inc.
00:00:7B         ,ResearchMach,Research Machines
00:00:7C         ,Ampere      ,Ampere Incorporated
00:00:7D         ,Oracle      ,Oracle Corporation
00:00:7E         ,Clustrix    ,Clustrix Corporation
00:00:7F         ,LinotypeHell,Linotype-Hell Ag
00:00:80         ,CrayCommunic,Cray Communications A/S
00:00:81         ,BayNetworks ,Bay Networks
00:00:82         ,LectraSystem,Lectra Systemes Sa
00:00:83         ,TadpoleTechn,Tadpole Technology Plc
00:00:84         ,Supernet    ,Supernet
00:00:85         ,Canon       ,Canon Inc.
00:00:86         ,Megahertz   ,Megahertz Corporation
00:00:87         ,Hitachi     ,"Hitachi, Ltd."
00:00:88         ,BrocadeCommu,Brocade Communications Systems LLC
00:00:89         ,Cayman      ,Cayman Systems Inc.
00:00:8A         ,DatahouseInf,Datahouse Information Systems
00:00:8B         ,Infotron    ,Infotron
00:00:8C         ,AlloyCompute,Alloy Computer Products (Australia) Pty Ltd
00:00:8D         ,Cryptek     ,Cryptek Inc.
00:00:8E         ,SolbourneCom,"Solbourne Computer, Inc."
00:00:8F         ,Raytheon    ,Raytheon
00:00:90         ,Microcom    ,Microcom
00:00:91         ,Anritsu     ,Anritsu Corporation
00:00:92         ,CogentDataTe,Cogent Data Technologies
00:00:93         ,Proteon     ,Proteon Inc.
00:00:94         ,AsanteTechno,Asante Technologies
00:00:95         ,SonyTektroni,Sony Tektronix Corp.
00:00:96         ,MarconiElect,Marconi Electronics Ltd.
00:00:97         ,DellEMC     ,Dell EMC
00:00:98         ,Crosscomm   ,Crosscomm Corporation
00:00:99         ,Mtx         ,"Mtx, Inc."
00:00:9A         ,RcComputer  ,Rc Computer A/S
00:00:9B         ,InformationI,"Information International, Inc"
00:00:9C         ,RolmMilSpecC,Rolm Mil-Spec Computers
00:00:9D         ,LocusComputi,Locus Computing Corporation
00:00:9E         ,Marli       ,Marli S.A.
00:00:9F         ,AmeristarTec,Ameristar Technologies Inc.
00:00:A0         ,SANYOElectri,"SANYO Electric Co., Ltd."
00:00:A1         ,MarquetteEle,Marquette Electric Co.
00:00:A2         ,BayNetworks ,Bay Networks
00:00:A3         ,NetworkAppli,Network Application Technology
00:00:A4         ,AcornCompute,Acorn Computers Limited
00:00:A5         ,Tattile     ,Tattile SRL
00:00:A6         ,NetworkGener,Network General Corporation
00:00:A7         ,NetworkCompu,Network Computing Devices Inc.
00:00:A8         ,StratusTechn,Stratus Technologies
00:00:A9         ,Network     ,Network Systems Corp.
00:00:AA         ,Xerox       ,Xerox Corporation
00:00:AB         ,LogicModelin,Logic Modeling Corporation
00:00:AC         ,ConwareCompu,Conware Computer Consulting
00:00:AD         ,BrukerInstru,Bruker Instruments Inc.
00:00:AE         ,DassaultElec,Dassault Electronique
00:00:AF         ,CanberraIndu,"Canberra Industries, Inc."
00:00:B0         ,RndRadNetwor,Rnd-Rad Network Devices
00:00:B1         ,AlphaMicro  ,Alpha Micro
00:00:B2         ,Televideo   ,"Televideo Systems, Inc."
00:00:B3         ,Cimlinc     ,Cimlinc Incorporated
00:00:B4         ,EdimaxTechno,Edimax Technology Co. Ltd.
00:00:B5         ,DatabilitySo,Datability Software Sys. Inc.
00:00:B6         ,MicroMaticRe,Micro-Matic Research
00:00:B7         ,DoveComputer,Dove Computer Corporation
